method,5pct_Arx.,5pct_Doc.,5pct_Info.,5pct_TAT,5pct_Tab,5pct_Fli.,5pct_Avg,10pct_Arx.,10pct_Doc.,10pct_Info.,10pct_TAT,10pct_Tab,10pct_Fli.,10pct_Avg
"ColPali, full index",0.895,0.6564,0.8735,0.8429,0.9427,0.9559,0.8611,0.895,0.6564,0.8735,0.8429,0.9427,0.9559,0.8611
Light-ColPali (merging),0.8698,0.5474,0.8586,0.6952,0.9188,0.9443,0.8057,0.8869,0.6213,0.8786,0.794,0.9344,0.9557,0.8451
Random keep,0.8271,0.5422,0.8253,0.6227,0.8918,0.9144,0.7706,0.8477,0.5907,0.8563,0.7108,0.9099,0.9374,0.8088
k-center (ours),0.8129,0.4867,0.7191,0.6621,0.8962,0.8918,0.7448,0.869,0.5548,0.8357,0.7625,0.9403,0.9292,0.8153
Top-likelihood,0.5639,0.2484,0.4003,0.4759,0.7996,0.8727,0.5601,0.7332,0.414,0.6048,0.6353,0.8551,0.8999,0.6904
Importance pruning,0.7585,0.3857,0.7904,0.4917,0.7917,0.8493,0.6779,0.7813,0.4281,0.7906,0.5334,0.8314,0.8827,0.7079
SAP (Liu et al.)†,0.8451,0.5649,0.8179,0.6817,0.9037,0.9054,0.7864,0.8811,0.59,0.8515,0.7701,0.9252,0.9335,0.8252
HPC-style (query-cond.)‡,0.8013,0.2274,0.8345,0.8347,0.8747,0.8081,0.7301,0.8397,0.4372,0.8578,0.8433,0.9159,0.8885,0.7971
MarginMerge (ours),0.8896,0.6009,0.866,0.7901,0.9401,0.9461,0.8388,0.8987,0.6472,0.8668,0.8142,0.9381,0.9515,0.8528
DSE-style‡,0.7298,0.3009,0.7668,0.4164,0.7492,0.7935,0.6261,0.7298,0.3009,0.7668,0.4164,0.7492,0.7935,0.6261
