dataset,rho,seed,n_docs,jaccard_random_kcenter,jaccard_random_coverage,jaccard_kcenter_coverage,Ucover_random,Ucover_kcenter,Ucover_coverage
arxivqa,0.05,42,150,0.0285,0.0252,0.059,0.0222,0.0496,0.6387
arxivqa,0.05,43,150,0.0339,0.0255,0.0567,0.0226,0.0482,0.6387
arxivqa,0.05,44,150,0.0295,0.0243,0.0567,0.0213,0.0489,0.6387
arxivqa,0.1,42,150,0.056,0.0522,0.0963,0.0299,0.053,0.4034
arxivqa,0.1,43,150,0.0567,0.0522,0.0954,0.0305,0.0519,0.4034
arxivqa,0.1,44,150,0.0539,0.0515,0.0969,0.0285,0.0528,0.4034
docvqa,0.05,42,150,0.0289,0.0259,0.0467,0.0176,0.0424,0.4667
docvqa,0.05,43,150,0.028,0.0252,0.0476,0.0163,0.0428,0.4667
docvqa,0.05,44,150,0.0292,0.0262,0.0455,0.0184,0.0408,0.4667
docvqa,0.1,42,150,0.0537,0.052,0.0748,0.0217,0.041,0.2795
docvqa,0.1,43,150,0.0538,0.0523,0.0758,0.0212,0.0417,0.2795
docvqa,0.1,44,150,0.0533,0.0528,0.075,0.0222,0.0406,0.2795
infovqa,0.05,42,150,0.0309,0.0259,0.0497,0.0244,0.0507,0.5825
infovqa,0.05,43,150,0.0313,0.0267,0.048,0.0229,0.0481,0.5825
infovqa,0.05,44,150,0.0307,0.0274,0.0512,0.0244,0.0509,0.5825
infovqa,0.1,42,150,0.057,0.0531,0.0772,0.0321,0.0575,0.4504
infovqa,0.1,43,150,0.0553,0.0527,0.0752,0.0319,0.0545,0.4504
infovqa,0.1,44,150,0.0556,0.0531,0.0757,0.032,0.0553,0.4504
tatdqa,0.05,42,83,0.0285,0.0256,0.0388,0.0154,0.0352,0.4263
tatdqa,0.05,43,83,0.0266,0.0254,0.0404,0.0146,0.0373,0.4263
tatdqa,0.05,44,83,0.0274,0.0256,0.0401,0.015,0.036,0.4263
tatdqa,0.1,42,83,0.0543,0.0522,0.0633,0.0178,0.0313,0.2135
tatdqa,0.1,43,83,0.0527,0.0526,0.0638,0.018,0.0317,0.2135
tatdqa,0.1,44,83,0.0546,0.0533,0.0645,0.0175,0.0314,0.2135
tabfquad,0.05,42,21,0.0494,0.0301,0.0535,0.0329,0.0705,0.496
tabfquad,0.05,43,21,0.04,0.0227,0.0498,0.0354,0.0646,0.496
tabfquad,0.05,44,21,0.0431,0.0205,0.0623,0.0337,0.0671,0.496
tabfquad,0.1,42,21,0.0649,0.0605,0.0874,0.0578,0.0885,0.5756
tabfquad,0.1,43,21,0.0603,0.052,0.0843,0.0559,0.0835,0.5756
tabfquad,0.1,44,21,0.0716,0.0545,0.0929,0.0536,0.0902,0.5756
flickr,0.05,42,300,0.071,0.0291,0.0886,0.0467,0.0961,0.1915
flickr,0.05,43,300,0.0704,0.0279,0.0939,0.0473,0.0978,0.1915
flickr,0.05,44,300,0.0666,0.029,0.0909,0.0465,0.0968,0.1915
flickr,0.1,42,300,0.0708,0.054,0.1274,0.0804,0.1467,0.3641
flickr,0.1,43,300,0.0771,0.0571,0.1297,0.0831,0.1498,0.3641
flickr,0.1,44,300,0.0745,0.0531,0.1274,0.0814,0.1469,0.3641
