anchor,representative,loss,rho,dataset,ndcg_mean,ci_lo,ci_hi,n_queries
-,full,-,0.05,arxivqa,0.9414,0.9224,0.9593,450
-,merging,-,0.05,arxivqa,0.9031,0.876,0.928,450
coverage,anchor,none,0.05,arxivqa,0.9121,0.8872,0.9349,450
coverage,learned,full,0.05,arxivqa,0.9272,0.9052,0.9478,450
coverage,learned,margin,0.05,arxivqa,0.929,0.9077,0.9494,450
coverage,learned,score_reconstruction,0.05,arxivqa,0.9223,0.8984,0.942,450
coverage,response_centroid,none,0.05,arxivqa,0.9165,0.8937,0.9368,450
coverage,uniform_centroid,none,0.05,arxivqa,0.9282,0.9063,0.948,450
kcenter,anchor,none,0.05,arxivqa,0.8826,0.8552,0.9079,450
kcenter,learned,full,0.05,arxivqa,0.926,0.9051,0.9457,450
kcenter,learned,margin,0.05,arxivqa,0.9259,0.9048,0.9462,450
kcenter,learned,score_reconstruction,0.05,arxivqa,0.9227,0.9015,0.942,450
kcenter,response_centroid,none,0.05,arxivqa,0.9128,0.8899,0.9342,450
kcenter,uniform_centroid,none,0.05,arxivqa,0.9187,0.8975,0.9383,450
random,anchor,none,0.05,arxivqa,0.8757,0.8482,0.9008,450
random,learned,full,0.05,arxivqa,0.9281,0.9062,0.9481,450
random,learned,margin,0.05,arxivqa,0.9312,0.9088,0.9513,450
random,learned,score_reconstruction,0.05,arxivqa,0.928,0.9069,0.9473,450
random,response_centroid,none,0.05,arxivqa,0.8893,0.8625,0.9141,450
random,uniform_centroid,none,0.05,arxivqa,0.9091,0.8851,0.9309,450
-,full,-,0.05,docvqa,0.7054,0.6663,0.7412,450
-,merging,-,0.05,docvqa,0.6444,0.6027,0.6842,450
coverage,anchor,none,0.05,docvqa,0.6248,0.5848,0.665,450
coverage,learned,full,0.05,docvqa,0.6882,0.6486,0.7271,450
coverage,learned,margin,0.05,docvqa,0.6916,0.6511,0.73,450
coverage,learned,score_reconstruction,0.05,docvqa,0.6865,0.6447,0.7268,450
coverage,response_centroid,none,0.05,docvqa,0.6461,0.6047,0.6847,450
coverage,uniform_centroid,none,0.05,docvqa,0.6617,0.6218,0.7021,450
kcenter,anchor,none,0.05,docvqa,0.6148,0.572,0.6572,450
kcenter,learned,full,0.05,docvqa,0.6898,0.651,0.7304,450
kcenter,learned,margin,0.05,docvqa,0.6938,0.6506,0.7339,450
kcenter,learned,score_reconstruction,0.05,docvqa,0.7037,0.6622,0.7435,450
kcenter,response_centroid,none,0.05,docvqa,0.663,0.6223,0.702,450
kcenter,uniform_centroid,none,0.05,docvqa,0.6474,0.6035,0.6877,450
random,anchor,none,0.05,docvqa,0.6081,0.5686,0.6493,450
random,learned,full,0.05,docvqa,0.6961,0.6589,0.7339,450
random,learned,margin,0.05,docvqa,0.6875,0.6465,0.726,450
random,learned,score_reconstruction,0.05,docvqa,0.6968,0.6574,0.7354,450
random,response_centroid,none,0.05,docvqa,0.6363,0.5965,0.6783,450
random,uniform_centroid,none,0.05,docvqa,0.6413,0.6,0.683,450
-,full,-,0.05,flickr,0.9317,0.9181,0.9445,900
-,merging,-,0.05,flickr,0.7865,0.7648,0.8075,900
coverage,anchor,none,0.05,flickr,0.7514,0.7262,0.7743,900
coverage,learned,full,0.05,flickr,0.8838,0.8671,0.9006,900
coverage,learned,margin,0.05,flickr,0.8863,0.8699,0.9018,900
coverage,learned,score_reconstruction,0.05,flickr,0.8835,0.8669,0.8993,900
coverage,response_centroid,none,0.05,flickr,0.8024,0.7807,0.8245,900
coverage,uniform_centroid,none,0.05,flickr,0.8127,0.7916,0.8327,900
kcenter,anchor,none,0.05,flickr,0.6226,0.5958,0.6496,900
kcenter,learned,full,0.05,flickr,0.8869,0.8691,0.9032,900
kcenter,learned,margin,0.05,flickr,0.8838,0.8668,0.9005,900
kcenter,learned,score_reconstruction,0.05,flickr,0.887,0.8704,0.9032,900
kcenter,response_centroid,none,0.05,flickr,0.7148,0.6897,0.7396,900
