anchor,representative,loss,rho,dataset,vs,delta_ndcg,ci_lo,ci_hi,significant
-,full,-,0.05,arxivqa,merging,0.0383,0.0247,0.0541,True
-,full,-,0.05,arxivqa,coverage_response,0.0249,0.0127,0.0396,True
-,full,-,0.05,arxivqa,full_marginmerge,0.0142,0.0043,0.0253,True
-,merging,-,0.05,arxivqa,coverage_response,-0.0133,-0.0287,0.0008,False
-,merging,-,0.05,arxivqa,full_marginmerge,-0.024,-0.0383,-0.0106,True
coverage,anchor,none,0.05,arxivqa,merging,0.009,-0.0063,0.0242,False
coverage,anchor,none,0.05,arxivqa,coverage_response,-0.0044,-0.0088,-0.0008,False
coverage,anchor,none,0.05,arxivqa,full_marginmerge,-0.0151,-0.0263,-0.0052,True
coverage,learned,full,0.05,arxivqa,merging,0.024,0.0105,0.0379,True
coverage,learned,full,0.05,arxivqa,coverage_response,0.0107,0.0019,0.0213,True
coverage,learned,margin,0.05,arxivqa,merging,0.0258,0.0124,0.0401,True
coverage,learned,margin,0.05,arxivqa,coverage_response,0.0125,0.0029,0.0231,True
coverage,learned,margin,0.05,arxivqa,full_marginmerge,0.0018,-0.0024,0.0064,False
coverage,learned,score_reconstruction,0.05,arxivqa,merging,0.0191,0.0062,0.0322,True
coverage,learned,score_reconstruction,0.05,arxivqa,coverage_response,0.0058,-0.002,0.015,False
coverage,learned,score_reconstruction,0.05,arxivqa,full_marginmerge,-0.0049,-0.0108,0.001,False
coverage,response_centroid,none,0.05,arxivqa,merging,0.0133,-0.0017,0.0285,False
coverage,response_centroid,none,0.05,arxivqa,full_marginmerge,-0.0107,-0.0205,-0.0022,True
coverage,uniform_centroid,none,0.05,arxivqa,merging,0.0251,0.0119,0.0398,True
coverage,uniform_centroid,none,0.05,arxivqa,coverage_response,0.0117,0.0024,0.0226,True
coverage,uniform_centroid,none,0.05,arxivqa,full_marginmerge,0.0011,-0.005,0.0075,False
kcenter,anchor,none,0.05,arxivqa,merging,-0.0205,-0.038,-0.0028,True
