anchor,representative,loss,rho,dataset,n_seeds,ndcg_at_5_mean,ndcg_at_5_std,recall_at_1_mean,recall_at_1_std,recall_at_5_mean,recall_at_5_std,recall_at_10_mean,recall_at_10_std,flip_rate_mean,flip_rate_std,reversal_rate_mean,reversal_rate_std,margin_abs_err_mean,margin_abs_err_std,score_abs_err_mean,score_abs_err_std,pos_score_abs_err_mean,pos_score_abs_err_std,ms_per_doc_mean,ms_per_doc_std,peak_mem_mb_mean,peak_mem_mb_std
-,full,-,0.05,arxivqa,3,0.9414,0.0,0.9067,0.0,0.9733,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,126.2667,0.1886
-,full,-,0.05,docvqa,3,0.7054,0.0,0.62,0.0,0.78,0.0,0.8133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.2362,192.7333,1.0371
-,full,-,0.05,flickr,3,0.9317,0.0,0.8733,0.0,0.9767,0.0,0.9833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0917,0.1183,33.1,0.0
-,full,-,0.05,infovqa,3,0.9281,0.0,0.8867,0.0,0.96,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,154.4,0.0
-,full,-,0.05,tabfquad,3,0.9427,0.0,0.8929,0.0,0.9881,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087,0.0005,18.0667,0.0471
-,full,-,0.05,tatdqa,3,0.9004,0.0,0.8373,0.0,0.9478,0.0,0.9639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,134.9,0.0
-,full,-,0.1,arxivqa,3,0.9414,0.0,0.9067,0.0,0.9733,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,126.4,0.0
-,full,-,0.1,docvqa,3,0.7054,0.0,0.62,0.0,0.78,0.0,0.8133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,192.0,0.0
-,full,-,0.1,flickr,3,0.9317,0.0,0.8733,0.0,0.9767,0.0,0.9833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,33.1,0.0
-,full,-,0.1,infovqa,3,0.9281,0.0,0.8867,0.0,0.96,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,154.4,0.0
-,full,-,0.1,tabfquad,3,0.9427,0.0,0.8929,0.0,0.9881,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,18.1,0.0
-,full,-,0.1,tatdqa,3,0.9004,0.0,0.8373,0.0,0.9478,0.0,0.9639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,134.9,0.0
-,merging,-,0.05,arxivqa,3,0.9031,0.0,0.8733,0.0,0.9267,0.0,0.9667,0.0,0.0048,0.0,0.0033,0.0,0.8573,0.0,2.6811,0.0,2.8445,0.0,5.3243,2.4138,164.4,0.0
-,merging,-,0.05,docvqa,3,0.6444,0.0,0.58,0.0,0.7,0.0,0.7533,0.0,0.1095,0.0,0.0596,0.0,1.1033,0.0,2.3613,0.0,2.351,0.0,5.148,2.5095,484.0,0.0
-,merging,-,0.05,flickr,3,0.7865,0.0,0.6433,0.0,0.9033,0.0,0.94,0.0,0.0132,0.0,0.0127,0.0,1.2757,0.0,2.9509,0.0,3.8482,0.0,3.375,0.2308,34.3,0.0
-,merging,-,0.05,infovqa,3,0.895,0.0,0.8333,0.0,0.9467,0.0,0.98,0.0,0.0097,0.0,0.008,0.0,1.1954,0.0,2.6065,0.0,3.2046,0.0,3.6037,0.3143,453.1,0.0
-,merging,-,0.05,tabfquad,3,0.9216,0.0,0.8571,0.0,0.9762,0.0,1.0,0.0,0.0113,0.0,0.0089,0.0,1.2762,0.0,3.5533,0.0,4.3493,0.0,15.826,16.1312,30.9667,0.0471
-,merging,-,0.05,tatdqa,3,0.8832,0.0,0.8032,0.0,0.9438,0.0,0.9578,0.0,0.0118,0.0,0.0068,0.0,0.8936,0.0,3.0883,0.0,3.413,0.0,2.6577,0.0169,250.5,0.0
-,merging,-,0.1,arxivqa,3,0.9196,0.0,0.8867,0.0,0.9467,0.0,0.98,0.0,0.0061,0.0,0.0016,0.0,0.5658,0.0,1.9392,0.0,1.9401,0.0,3.1493,0.6158,169.6,0.0
-,merging,-,0.1,docvqa,3,0.6666,0.0,0.5933,0.0,0.7267,0.0,0.7667,0.0,0.102,0.0,0.0524,0.0,0.8747,0.0,1.723,0.0,1.6547,0.0,3.1923,0.3445,486.5,0.0
-,merging,-,0.1,flickr,3,0.8735,0.0,0.7867,0.0,0.9367,0.0,0.9633,0.0,0.0055,0.0,0.0051,0.0,0.8233,0.0,1.9528,0.0,2.4705,0.0,3.3447,0.4599,35.2,0.0
-,merging,-,0.1,infovqa,3,0.9095,0.0,0.86,0.0,0.9467,0.0,0.9733,0.0,0.0085,0.0,0.0073,0.0,0.8316,0.0,1.7758,0.0,2.0718,0.0,3.155,0.5999,458.5,0.0
-,merging,-,0.1,tabfquad,3,0.9274,0.0,0.869,0.0,0.9762,0.0,0.9881,0.0,0.0089,0.0,0.0083,0.0,0.8212,0.0,2.3738,0.0,2.7935,0.0,1.993,1.8428,31.2,0.0
-,merging,-,0.1,tatdqa,3,0.8885,0.0,0.8112,0.0,0.9418,0.0,0.9618,0.0,0.0109,0.0,0.006,0.0,0.6875,0.0,2.2446,0.0,2.3055,0.0,3.2103,0.9849,252.1,0.0
coverage,anchor,none,0.05,arxivqa,3,0.9121,0.0,0.88,0.0,0.94,0.0,0.9667,0.0,0.0048,0.0,0.0036,0.0,1.3443,0.0,1.425,0.0,2.604,0.0,1190.2207,6.4978,412.3667,0.0471
